hero_names,Powers
3-D Man,"Agility,Super Strength,Stamina,Super Speed"
A-Bomb,"Accelerated Healing,Durability,Longevity,Super Strength,Stamina,Camouflage,Self-Sustenance"
Abe Sapien,"Agility,Accelerated Healing,Cold Resistance,Durability,Underwater breathing,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Telepathy,Stamina,Immortality,Reflexes,Enhanced Sight,Sub-Mariner"
Abin Sur,Lantern Power Ring
Abomination,"Accelerated Healing,Intelligence,Super Strength,Stamina,Super Speed,Invulnerability,Animation,Super Breath"
Abraxas,"Dimensional Awareness,Flight,Intelligence,Super Strength,Size Changing,Super Speed,Teleportation,Magic,Dimensional Travel,Immortality,Invulnerability,Molecular Manipulation,Energy Manipulation,Power Cosmic"
Absorbing Man,"Cold Resistance,Durability,Energy Absorption,Super Strength,Invulnerability,Elemental Transmogrification,Fire Resistance,Natural Armor,Molecular Manipulation,Heat Resistance,Matter Absorption"
Adam Monroe,"Accelerated Healing,Immortality,Regeneration"
Adam Strange,"Durability,Stealth,Flight,Marksmanship,Weapons Master,Intelligence,Super Speed,Fire Resistance,Enhanced Sight,Power Suit"
Agent Bob,Stealth
Agent Zero,"Energy Absorption,Longevity,Super Strength,Energy Blasts,Energy Beams,Power Suit"
Air-Walker,"Flight,Super Strength,Super Speed,Self-Sustenance,Molecular Manipulation,Power Cosmic"
Ajax,"Agility,Super Strength,Super Speed,Heat Generation,Power Suit"
Alan Scott,"Flight,Danger Sense,Intelligence,Telepathy,Energy Blasts,Super Speed,Teleportation,Energy Beams,Phasing,Force Fields,Hypnokinesis,Energy Manipulation,Invisibility"
Alex Mercer,"Agility,Accelerated Healing,Stealth,Energy Absorption,Danger Sense,Marksmanship,Weapons Master,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed,Enhanced Senses,Jump,Shapeshifting,Immortality,Invulnerability,Elasticity,Substance Secretion,Enhanced Hearing,Natural Armor,Adaptation,Gliding,Natural Weapons,Wallcrawling,Matter Absorption,Vision - Thermal"
Alex Woolsly,Underwater breathing
Alien,"Agility,Cold Resistance,Durability,Stealth,Super Strength,Super Speed,Enhanced Senses,Jump,Substance Secretion,Natural Armor,Heat Resistance,Natural Weapons,Wallcrawling,Vision - Thermal"
Allan Quatermain,Marksmanship
